room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6225543,32287388,Entire home/apt,SOUTH,LEGACY,6,5.0,5,3.0,146.0,1.0,50.859899,-114.011444,2016-09-11 16:01:22.644027
12268155,62303911,Entire home/apt,SOUTH,SOMERSET,0,,4,2.0,64.0,1.0,50.900419,-114.069571,2016-09-11 17:24:37.484032
10281405,23578299,Entire home/apt,SOUTH,ACADIA,0,,6,1.0,157.0,1.0,50.965589,-114.04251,2016-09-11 16:31:02.201634
6467389,27154086,Entire home/apt,SOUTHEAST,COPPERFIELD,6,5.0,6,4.0,190.0,2.0,50.916671,-113.923275,2016-09-11 16:03:23.982556
5013131,25855775,Entire home/apt,SOUTHEAST,COPPERFIELD,0,,4,2.0,68.0,1.0,50.924337,-113.929426,2016-09-11 16:48:14.823490
2629157,1983508,Entire home/apt,SOUTH,DEER RUN,3,4.0,4,3.0,103.0,1.0,50.921403,-113.999541,2016-09-11 16:37:29.813423
6503878,33865218,Entire home/apt,SOUTH,ACADIA,0,,2,2.0,52.0,1.0,50.96705,-114.043372,2016-09-11 17:29:35.160311
14819264,48099712,Entire home/apt,SOUTH,MIDNAPORE,0,,4,2.0,83.0,2.0,50.918638,-114.065748,2016-09-11 16:33:00.597403
222034,885992,Entire home/apt,SOUTH,SILVERADO,1,,6,3.0,237.0,3.0,50.884223,-114.071727,2016-09-11 15:58:21.530016
12855763,48099712,Entire home/apt,SOUTH,MIDNAPORE,4,4.5,4,2.0,87.0,2.0,50.917402,-114.066458,2016-09-11 16:22:50.653630
13047498,72206507,Entire home/apt,SOUTH,LAKE BONAVISTA,0,,2,1.0,78.0,1.0,50.946246,-114.068635,2016-09-11 16:17:21.632589
13783835,80923647,Entire home/apt,SOUTH,HAYSBORO,0,,4,2.0,142.0,6.0,50.97418,-114.073237,2016-09-11 15:53:07.337516
8634652,16357447,Entire home/apt,SOUTH,HAYSBORO,0,,2,1.0,158.0,3.0,50.973882,-114.072967,2016-09-11 16:21:47.453162
7516262,39378510,Entire home/apt,SOUTH,FAIRVIEW,7,4.0,2,1.0,70.0,3.0,50.979664,-114.063726,2016-09-11 16:15:58.010085
10156970,51353816,Entire home/apt,SOUTH,SUNDANCE,1,,3,1.0,79.0,1.0,50.89392,-114.043576,2016-09-11 16:33:04.311180
13885462,78373390,Entire home/apt,SOUTH,CANYON MEADOWS,0,,5,0.0,379.0,2.0,50.93372,-114.072506,2016-09-11 17:32:07.136965
13349068,75665126,Entire home/apt,SOUTH,MILLRISE,12,5.0,6,2.0,95.0,,50.917008,-114.073036,2016-09-11 16:06:46.269492
14028392,72206507,Entire home/apt,SOUTHEAST,AUBURN BAY,0,,2,1.0,103.0,1.0,50.885287,-113.947933,2016-09-11 17:16:56.558815
12762309,69428343,Entire home/apt,SOUTH,SUNDANCE,9,5.0,6,3.0,115.0,2.0,50.898076,-114.051517,2016-09-11 17:37:34.581106
8788770,46061782,Entire home/apt,SOUTHEAST,AUBURN BAY,1,,2,1.0,111.0,2.0,50.883613,-113.953496,2016-09-11 16:18:53.830077
2431716,37852,Private room,CENTRE,CAPITOL HILL,4,4.5,1,1.0,52.0,1.0,51.07441,-114.105919,2016-09-11 16:58:11.151879
14564061,90191940,Entire home/apt,WEST,GLENDALE,0,,6,3.0,103.0,1.0,51.03015,-114.149559,2016-09-11 16:58:08.450761
14931726,93712676,Entire home/apt,CENTRE,BELTLINE,0,,6,2.0,79.0,1.0,51.039476,-114.063466,2016-09-11 16:57:51.902159
14952946,6781491,Private room,WEST,ROSSCARROCK,0,,2,1.0,20.0,,51.046031,-114.146082,2016-09-11 16:57:28.793489
2465746,8175696,Private room,CENTRE,HIGHLAND PARK,2,,1,1.0,28.0,3.0,51.081705,-114.062909,2016-09-11 16:57:14.934696
2396591,12115056,Private room,CENTRE,RIDEAU PARK,24,4.5,3,1.0,50.0,3.0,51.023722,-114.075378,2016-09-11 16:56:51.989399
3595340,18067242,Entire home/apt,CENTRE,TUXEDO PARK,19,5.0,2,1.0,55.0,1.0,51.069481,-114.065874,2016-09-11 16:56:34.981716
5248510,27162497,Entire home/apt,CENTRE,BELTLINE,24,5.0,6,2.0,163.0,2.0,51.038284,-114.059824,2016-09-11 16:56:30.332623
257628,1355829,Private room,NORTHWEST,CHARLESWOOD,6,5.0,2,1.0,39.0,2.0,51.081564,-114.118656,2016-09-11 16:56:15.700676
14200873,45670640,Private room,NORTHEAST,STONEY 2,0,,4,1.0,103.0,1.0,51.138141,-114.033849,2016-09-11 16:56:01.700307
11422554,44935064,Entire home/apt,CENTRE,SOUTH CALGARY,10,5.0,4,1.0,67.0,1.0,51.023468,-114.110702,2016-09-11 16:55:51.693509
9326521,48406214,Private room,CENTRE,BELTLINE,44,5.0,2,1.0,42.0,1.0,51.041512,-114.087987,2016-09-11 16:55:48.940922
13767037,80265227,Entire home/apt,CENTRE,BELTLINE,2,,4,2.0,95.0,1.0,51.039874,-114.088359,2016-09-11 16:55:38.608536
7007112,36611768,Private room,CENTRE,BELTLINE,0,,2,1.0,64.0,5.0,51.040796,-114.08647,2016-09-11 16:55:27.121473
9260782,48107789,Entire home/apt,CENTRE,SOUTH CALGARY,41,5.0,4,2.0,110.0,3.0,51.029058,-114.10036,2016-09-11 16:54:32.102853
6359719,29122642,Private room,EAST,PENBROOKE MEADOWS,81,4.0,2,1.0,20.0,1.0,51.051379,-113.937672,2016-09-11 16:54:26.633778
13958064,83138672,Entire home/apt,CENTRE,TUXEDO PARK,8,5.0,8,3.0,99.0,2.0,51.069886,-114.0673,2016-09-11 16:54:04.977969
11297542,58509131,Private room,CENTRE,WEST HILLHURST,7,5.0,2,1.0,39.0,1.0,51.056024,-114.109966,2016-09-11 16:53:54.164941
13923616,25701705,Entire home/apt,CENTRE,CHINATOWN,0,,2,1.0,95.0,5.0,51.053361,-114.066917,2016-09-11 16:53:27.618458
11696842,61144437,Private room,SOUTH,SILVERADO,3,5.0,4,1.0,78.0,1.0,50.882611,-114.084239,2016-09-11 16:53:10.234670
11116674,32305059,Private room,SOUTHEAST,RIVERBEND,0,,1,1.0,39.0,7.0,50.982604,-114.022909,2016-09-11 16:53:06.460874
872180,3471747,Private room,NORTHWEST,BOWNESS,48,4.5,2,1.0,43.0,1.0,51.081403,-114.172536,2016-09-11 16:52:40.324069
6269908,872764,Entire home/apt,CENTRE,SUNNYSIDE,1,,4,1.0,77.0,2.0,51.055923,-114.080282,2016-09-11 16:52:28.571814
13168863,69986222,Entire home/apt,WEST,DISCOVERY RIDGE,0,,2,1.0,39.0,7.0,51.012985,-114.215603,2016-09-11 16:52:20.903743
13885578,74063048,Private room,WEST,DISCOVERY RIDGE,2,,2,1.0,43.0,,51.0121,-114.214191,2016-09-11 16:52:04.925570
7696570,12365039,Entire home/apt,CENTRE,BELTLINE,3,3.0,4,2.0,106.0,2.0,51.041059,-114.09262,2016-09-11 16:52:01.411633
7050621,36974984,Entire home/apt,CENTRE,BELTLINE,16,5.0,4,2.0,95.0,1.0,51.038992,-114.079534,2016-09-11 16:51:34.147575
11095739,22722712,Private room,NORTHEAST,MARLBOROUGH PARK,34,5.0,2,1.0,20.0,2.0,51.05676,-113.938567,2016-09-11 16:51:16.017520
7970640,25440683,Entire home/apt,NORTHWEST,UNIVERSITY OF CALGARY,12,4.0,4,2.0,83.0,2.0,51.071204,-114.124471,2016-09-11 16:51:01.755520
5957137,549706,Entire home/apt,CENTRE,SUNNYSIDE,74,5.0,2,1.0,55.0,1.0,51.056512,-114.082212,2016-09-11 16:50:49.574229
13588455,78478086,Entire home/apt,CENTRE,LOWER MOUNT ROYAL,2,,2,1.0,56.0,2.0,51.036339,-114.089659,2016-09-11 16:50:41.792385
2864482,2566117,Entire home/apt,NORTH,THORNCLIFFE,46,4.5,6,1.0,40.0,1.0,51.098961,-114.076838,2016-09-11 16:50:35.607843
1818725,2060315,Entire home/apt,CENTRE,SUNALTA,58,4.5,2,1.0,50.0,3.0,51.042484,-114.102408,2016-09-11 16:50:12.885757
14111426,47358495,Private room,SOUTH,OAKRIDGE,0,,2,1.0,39.0,1.0,50.964731,-114.126395,2016-09-11 16:50:02.525055
